"setInfo.set.setId","setInfo.set.name","setInfo.experiment.randomizationStrategyCode","setInfo.experiment.name","setInfo.experiment.id","setInfo.overallDeactivationStatus","answer.deactivationDateTime","answer.deactivationReason","answer.deactivationUser","answer.secondaryAnswer1","answer.secondaryAnswer2","answer.secondaryAnswer3","answer.secondaryAnswer4","answer.entityTypeCode","answer.localizedValue","answer.isDeactivated","answer.answerMethod","answer.answerUserId","answer.answeredTime","answer.businessUnit","answer.questionCode","answer.instanceSeq","answer.repetition","answer.attribute","answer.secondary","answer.valueType","answer.answerId","answer.entityId","answer.uomCode","answer.locale","answer.value","_rowNumber","setInfo.set.entry.unit.deactivationReasonInfo.value","setInfo.set.entry.unit.treatment.treatmentNumber","setInfo.set.entry.unit.treatment.id","setInfo.set.entry.unit.rep","setInfo.set.entry.entryId"
86731,"Peptide - ASR Velocity Test - 2022","rcb","Feb. 2022 Testing",13344,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Rope Wick","NOZT: FLAFAI","SET","2022-07-05 00:00:00.000",false,"User Collected","GPWHIT","2022-07-05T15:17:53Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Rope Wick,FLAFAI,Soybeans,6.0","DATE","745cbecb-4198-48f5-ae3f-0105ed05b3d7","86731","DATE","US","2022-07-05",31,,,,,
86731,"Peptide - ASR Velocity Test - 2022","rcb","Feb. 2022 Testing",13344,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Rope Wick","NOZT: FLAFAI","SET","2022-07-05 00:00:00.000",false,"User Collected","GPWHIT","2022-07-05T15:17:53Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Rope Wick,FLAFAI,Soybeans,6.0","DATE","bb21dc20-1df0-4ad2-81f5-23bb7c11a0ee","86731","DATE","US","2022-07-05",32,,,,,
86731,"Peptide - ASR Velocity Test - 2022","rcb","Feb. 2022 Testing",13344,false,,,,"ANSM: User Collected","APLPRE: 3.0","APP_EQUIP: Rope Wick","NOZT: AIXR110015","SET","2022-06-26 00:00:00.000",false,"User Collected","DROBI1","2022-06-27T10:43:46Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,3.0,Rope Wick,AIXR110015,Soybeans,5.0","DATE","4dce88d3-4cf4-4e5e-8aa5-a7457c6ed711","86731","DATE","US","2022-06-26",34,,,,,
86731,"Peptide - ASR Velocity Test - 2022","rcb","Feb. 2022 Testing",13344,false,,,,"ANSM: User Collected","APLPRE: 12.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-06-28 00:00:00.000",false,"User Collected","GLKVD","2022-06-27T10:04:36Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,12.0,Rope Wick,TP9501E,Soybeans,12.0","DATE","ae99c289-69fe-45dd-97a2-ca1c0d30267c","86731","DATE","US","2022-06-28",36,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","DAP: 14.0","INCAPPMTH: Spray Atomize","TAXA: Soybeans","SET","2022-06-14 00:00:00.000",false,"User Collected","GMPXW","2022-06-14T16:07:20Z","Plant Biotechnology","INOCAPPDT","C6990-I2",,"Primary Business","User Collected,14.0,Spray Atomize,Soybeans,Spore Suspension","DATE","94c8b283-0fd9-417f-8431-ce5c58d39ac1","84838","DATE","US","2022-06-14",42,,,,,
86731,"Peptide - ASR Velocity Test - 2022","rcb","Feb. 2022 Testing",13344,false,,,,"ANSM: User Collected","APLPRE: 3.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-06-14 00:00:00.000",false,"User Collected","YSHAR","2022-06-14T09:39:25Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,3.0,Rope Wick,TP9501E,Soybeans,3.0","DATE","486194d0-cbd3-494c-95ea-8db66336dd75","86731","DATE","US","2022-06-14",44,,,,,
86731,"Peptide - ASR Velocity Test - 2022","rcb","Feb. 2022 Testing",13344,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-06-08 00:00:00.000",false,"User Collected","GMPXW","2022-06-08T11:31:38Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Rope Wick,TP9501E,Soybeans,7.0","DATE","107327cf-9fcf-4f56-ad33-1057008e5bad","86731","DATE","US","2022-06-08",45,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 8.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-05-19 00:00:00.000",false,"User Collected","GLKVD","2022-05-19T15:27:28Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,8.0,Rope Wick,TP9501E,Soybeans,8.0","DATE","03581c83-4eed-4bc9-a516-de9e634dd56a","84838","DATE","US","2022-05-19",49,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 58.0","APP_EQUIP: Rope Wick","NOZT: CONHOL","SET","2022-05-19 00:00:00.000",false,"User Collected","GLKVD","2022-05-19T14:55:29Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,58.0,Rope Wick,CONHOL,Soybeans,85.0","DATE","5c34dd49-b88a-48d5-991d-db06888ec54a","84838","DATE","US","2022-05-19",50,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 75073.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-04-29 00:00:00.000",false,"User Collected","GLKVD","2022-04-29T09:40:41Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,75073.0,Rope Wick,TP9501E,Soybeans,24.0","DATE","f1a6cada-4761-4bb2-a7e0-6f1176dea9f6","84838","DATE","US","2022-04-29",53,,,,,
